Datetime,Tweet Id,Username,Likes,Retweets,Text
2023-03-15 05:32:04+00:00,1635876494357729284,PRDepok,0,0,"5 Lagu Religi Islam Populer yang Lekat dengan Bulan Puasa, Cocok Didengarkan Jelang Ramadhan 2023 https://t.co/HJBBevFLrX"
2023-03-15 05:31:42+00:00,1635876405782380545,usd0llar,0,0,Bigwin sebelum ramadhan apa gabisa😭
2023-03-15 05:31:30+00:00,1635876355257823239,iMasjidPonorogo,0,0,"""Meraih Keutamaan Ramadhan "" || Ustadz Sukeri Abdillah MBA https://t.co/FpBnKCjGLE via @YouTube"
2023-03-15 05:31:21+00:00,1635876316955414531,Kopi_laut,0,0,"Saat ramadhan banyak orang berbagi makanan
Orang2 kenyang
Ga beli jajan"
2023-03-15 05:31:20+00:00,1635876313096687618,fferdiansyah13_,0,0,8 hari lagi Ramadhan 🤲
2023-03-15 05:30:56+00:00,1635876210193608705,xxramaxx8,0,0,@erigostore Apanih jangan bikin penasaran mint ayo spill sekarang
2023-03-15 05:30:44+00:00,1635876160599932928,depok_pos,0,0,5 Persiapan Sambut Bulan Suci Ramadhan https://t.co/Tf3DZekGQ3 https://t.co/23mGcpKF25
2023-03-15 05:30:41+00:00,1635876149439135744,mhankumiz,1,0,@SWRKS_ @hariankompas Terbaiks mamang! 🔥🔥🔥
2023-03-15 05:30:27+00:00,1635876088059682817,YanGuning2,3,3,"Bismillah
Pemirsa promo terakhir Abon sapi hrga ada dibawah
Sepesial Hari terakhir waktunya 2 jam
Dibanting
100rb dpt 5 toples satuan 50rb
Yu persediaan buat stock ramadhan
Semoga Berkah🙏
Langsung DM/087869071655
Ijin tag
@zomet13 
@jaga_atitude 
@el__yassien 
@Gojekmilitan https://t.co/QIZfRChyy6"
2023-03-15 05:30:22+00:00,1635876068807835648,AqwaAsyraff,0,0,"Majority Melayu ni best dia satu je bg aku, aktiviti keagamaan tu ada, dulu ada tadarus bulan ramadhan, bacaan yassin, majlis khatam quran."
2023-03-15 05:30:19+00:00,1635876055834849280,_themukz_88,1,0,"@infomalang dan pak @yusufgunawan izin menyampaikan dapat dari grup WA, barangkali ada yang butuh terkait sewa tenan di bazaar ramadhan tahun ini. https://t.co/GBXK3MuXtg"
2023-03-15 05:30:18+00:00,1635876052445847552,vivivahira,0,0,"Mari ibadah ramadhan dengan aman dan nyaman karena covid masih darurat. 

#CovidMasihAda
#EndemiCovid
#ProkesCovid https://t.co/fqjckS652Z"
2023-03-15 05:30:16+00:00,1635876042949705728,Utaratimes,0,0,"3 Shio Hoki Bakal Dapat Karir Tinggi Asal Rajin Sedekah Sepanjang Ramadhan 2023, Begini Prediksi Rezekinya https://t.co/t3yxdi2oS9"
2023-03-15 05:30:10+00:00,1635876018555846656,sinemart_ph,0,0,"Jawab pertanyaannya, bawa pulang uangnya! 
Cuma jawab pertanyaan aja bisa dapet uang? Ketemu sama artis lagi?! Siapa sih yang gamau!! Penasarankaann 🤭

Ramadhan seru dengan program baru penuh berkah! Nantikan Reality show terbaru #Perigut SEGERA hanya di @SCTV 👌 https://t.co/EPikPMJeCz"
2023-03-15 05:30:09+00:00,1635876014458015747,ElaaTante,0,0,"Mari ibadah ramadhan dengan aman dan nyaman karena covid masih darurat. 

#CovidMasihAda
#EndemiCovid
#ProkesCovid https://t.co/ybLnWAjw3Q"
2023-03-15 05:29:59+00:00,1635875971105718275,0mandum,0,0,"banyak banget yang bikin spekulasi gajelas yang jatuhnya fitnah, kalem zee lumayan panen pahala sebelum ramadhan 😍🙏🏻 @A_ZeeJKT48"
2023-03-15 05:29:54+00:00,1635875949656043520,nurlinda1190,0,0,"Mari ibadah ramadhan dengan aman dan nyaman karena covid masih darurat. 

#CovidMasihAda
#EndemiCovid
#ProkesCovid https://t.co/zXP85iyGMp"
2023-03-15 05:29:42+00:00,1635875901610299392,jamaluddinyusr1,0,0,"Mari ibadah ramadhan dengan aman dan nyaman karena covid masih darurat. 

#CovidMasihAda
#EndemiCovid
#ProkesCovid https://t.co/hoUgDQnGQN"
2023-03-15 05:29:35+00:00,1635875872392757248,IqbalLu71838660,0,0,"@yossygirsang 
 Saya ingin sekali sebelum ramadhan tahun ini saya dapat melunasi hutang saya. Saya ingin ibadah dgn tenang. 🙏🙏"
2023-03-15 05:29:35+00:00,1635875870337544192,yusufmanakarra,0,0,"Mari ibadah ramadhan dengan aman dan nyaman karena covid masih darurat. 

#CovidMasihAda
#EndemiCovid
#ProkesCovid https://t.co/eiG50KYUDB"
2023-03-15 05:29:32+00:00,1635875860191539200,kodim0313kpr,0,0,"Antisipasi Lonjakan Harga Jelang Ramadhan, Babinsa Koramil 01/Bkn Cek Harga Sembako https://t.co/2ooCx4j4GE"
2023-03-15 05:29:29+00:00,1635875846413258752,mikhsanr,0,0,@Eno_Bening kenjiihh
2023-03-15 05:29:09+00:00,1635875762627805184,ox_ramadhan2023,0,0,@the10xportfolio Tg Tiar yanti https://t.co/JQ1ZhTObz6
2023-03-15 05:29:06+00:00,1635875749797441536,faiizhar,1,0,Done beli periuk nasi baru utk ramadhan 🤣 https://t.co/E8bU0Uhe77
2023-03-15 05:29:02+00:00,1635875734815399936,PR_Tasikmalaya,0,0,Manfaatkan Pinjaman KUR BRI untuk Meningkatkan Performa Bisnis Anda di Bulan Ramadhan 2023 https://t.co/6r65BA1lKe
2023-03-15 05:28:55+00:00,1635875703207100418,arafah_ramadhan,1,0,@sjahtie terus salah nya gak punya ijasah apa selama dia jujur tidak memalsukan nya dgn gak punya ijasah dan membuat ijasah palsu itu yg melangar aturan
2023-03-15 05:28:02+00:00,1635875480548130817,GATRA_com,0,0,"Tekan Inflasi Pangan Saat Ramadhan, Pemerintah Salurkan Bansos Sembako

https://t.co/HT8DJXLo61"
2023-03-15 05:27:50+00:00,1635875430946439169,mhankumiz,0,0,@WisnuPradanaArt Mau cari info bullish yg nongol tanyarl horror 🤣
